PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
12,sp.a,2048,1095,987,1517,549,6196
13,N-VA,3645,2420,2054,3743,2110,13972
15,CD&V,1829,1298,869,2369,1319,7684
17,PVDA+,393,268,221,228,149,1259
29,R.O.S.S.E.M.,25,23,26,19,11,104
30,VCP,4,0,6,8,4,22
32,ROEL,15,11,12,9,5,52
33,MAMA,18,29,22,29,9,107
34,Piratenpartij,70,42,42,80,36,270
35,GENOEG,30,33,32,26,8,129
,Totalen10585,6964,6333,10324,5553,39759
,11009 - Kanton Brecht
,
PartijNummer,Partijen,Brecht,Essen,Kalmthout,Malle,Wuustwezel,Totalen
2,Groen,1136,764,1112,803,803,4618
3,Vlaams Belang,1619,809,604,634,887,4553
7,OpenVld,1580,744,849,893,1209,5275
12,sp.a,1242,1018,915,677,691,4543
13,N-VA,8505,3675,4298,4188,4885,25551
15,CD&V,3910,2729,2878,2294,3854,15665
17,PVDA+,369,268,370,192,334,1533
29,R.O.S.S.E.M.,47,29,29,25,41,171
30,VCP,15,5,2,10,9,41
32,ROEL,19,13,13,10,16,71
33,MAMA,47,22,28,42,43,182
34,Piratenpartij,144,73,90,75,89,471
35,GENOEG,62,29,22,36,43,192
,Totalen18695,10178,11210,9879,12904,62866
,12009 - Kanton Duffel
,
PartijNummer,Partijen,Bonheiden,Duffel,Sint-Katelijne-Waver,Totalen
2,Groen,983,1090,1016,3089
3,Vlaams Belang,542,817,968,2327
7,OpenVld,1556,933,1717,4206
12,sp.a,712,854,977,2543
13,N-VA,3928,4517,5267,13712
15,CD&V,2213,3007,3479,8699
17,PVDA+,193,293,260,746
29,R.O.S.S.E.M.,23,36,23,82
30,VCP,4,4,8,16
32,ROEL,6,22,22,50
33,MAMA,19,27,23,69
34,Piratenpartij,55,90,97,242
35,GENOEG,38,37,53,128
,Totalen10272,11727,13910,35909
,12014 - Kanton Heist-op-den-Berg
,
PartijNummer,Partijen,Heist-op-den-Berg,Nijlen,Putte,Totalen
2,Groen,2120,1308,796,4224
3,Vlaams Belang,2117,1062,773,3952
7,OpenVld,2944,1245,2380,6569
12,sp.a,3244,1257,813,5314
13,N-VA,9953,6176,3763,19892
15,CD&V,7157,4037,3035,14229
17,PVDA+,919,332,205,1456
